dataset,size,algorithm,time_us,char_ops,sorted
almost_sorted,1500,standard_quick_sort,180,75937,yes
almost_sorted,1500,standard_merge_sort,293,15891,yes
almost_sorted,1500,string_quick_sort,59,38556,yes
almost_sorted,1500,string_merge_sort,300,27152,yes
almost_sorted,1500,msd_radix_sort,260,7278,yes
almost_sorted,1500,msd_radix_quick_sort,73,13883,yes
almost_sorted,1600,standard_quick_sort,192,79335,yes
almost_sorted,1600,standard_merge_sort,335,17068,yes
almost_sorted,1600,string_quick_sort,69,43955,yes
almost_sorted,1600,string_merge_sort,331,29201,yes
almost_sorted,1600,msd_radix_sort,274,7764,yes
almost_sorted,1600,msd_radix_quick_sort,76,14704,yes
almost_sorted,1700,standard_quick_sort,211,87810,yes
almost_sorted,1700,standard_merge_sort,364,18456,yes
almost_sorted,1700,string_quick_sort,77,48954,yes
almost_sorted,1700,string_merge_sort,362,31614,yes
almost_sorted,1700,msd_radix_sort,290,8254,yes
almost_sorted,1700,msd_radix_quick_sort,82,15566,yes
almost_sorted,1800,standard_quick_sort,228,94912,yes
almost_sorted,1800,standard_merge_sort,386,19938,yes
almost_sorted,1800,string_quick_sort,85,54286,yes
almost_sorted,1800,string_merge_sort,387,34143,yes
almost_sorted,1800,msd_radix_sort,310,8740,yes
almost_sorted,1800,msd_radix_quick_sort,86,16515,yes
almost_sorted,1900,standard_quick_sort,245,101880,yes
almost_sorted,1900,standard_merge_sort,386,20911,yes
almost_sorted,1900,string_quick_sort,94,59986,yes
almost_sorted,1900,string_merge_sort,396,35710,yes
almost_sorted,1900,msd_radix_sort,326,9226,yes
almost_sorted,1900,msd_radix_quick_sort,95,17529,yes
almost_sorted,2000,standard_quick_sort,259,109177,yes
almost_sorted,2000,standard_merge_sort,430,22381,yes
almost_sorted,2000,string_quick_sort,103,65048,yes
almost_sorted,2000,string_merge_sort,448,38278,yes
almost_sorted,2000,msd_radix_sort,338,9700,yes
almost_sorted,2000,msd_radix_quick_sort,97,18465,yes
almost_sorted,2100,standard_quick_sort,279,117364,yes
almost_sorted,2100,standard_merge_sort,419,23754,yes
almost_sorted,2100,string_quick_sort,109,71405,yes
almost_sorted,2100,string_merge_sort,441,40634,yes
almost_sorted,2100,msd_radix_sort,352,10180,yes
almost_sorted,2100,msd_radix_quick_sort,97,19436,yes
almost_sorted,2200,standard_quick_sort,294,124136,yes
almost_sorted,2200,standard_merge_sort,457,24772,yes
almost_sorted,2200,string_quick_sort,117,75711,yes
almost_sorted,2200,string_merge_sort,478,42293,yes
almost_sorted,2200,msd_radix_sort,372,10666,yes
almost_sorted,2200,msd_radix_quick_sort,108,20252,yes
almost_sorted,2300,standard_quick_sort,311,132300,yes
almost_sorted,2300,standard_merge_sort,505,26148,yes
almost_sorted,2300,string_quick_sort,125,80984,yes
almost_sorted,2300,string_merge_sort,534,44805,yes
almost_sorted,2300,msd_radix_sort,387,11138,yes
